Problema,Algoritmo,Cenario,Tempo (s),Desvio Padrao (s),Comparacoes,Trocas
1,Bubblesort,Aleatorio,0.441074,,449897368,225667291
1,Bubblesort,Ordenado,0.000020,,29999,0
1,Bubblesort,Inverso,0.340897,,449985000,449985000
1,Insertionsort,Aleatorio,0.109830,,225697282,225667291
1,Insertionsort,Ordenado,0.000037,,29999,0
1,Insertionsort,Inverso,0.219715,,449985000,449985000
1,Selectionsort,Aleatorio,0.147405,,449985000,29992
1,Selectionsort,Ordenado,0.144050,,449985000,0
1,Selectionsort,Inverso,0.179893,,449985000,15000
2,Heapsort,Ordenado,0.000228,0.000029,112126,60932
2,Quicksort,Ordenado,0.007215,0.000040,12497500,12502499
3,Insertionsort,Quase Ordenado,0.000080,,50247,248
3,Shellsort,Quase Ordenado,0.000667,,700254,248
